energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.684,0.202,91.601,0.28,0.448,1.15e-05,4,0.859,2,264152,-6.962,0.613,1,audio_features,spotify:track:4MbV8zrWudQflnbiIzp29t
0.578,0.199,92.139,0.181,0.0103,0.811,4,0.801,1,160867,-13.264,0.499,1,audio_features,spotify:track:0cfqYhY6B8PbGF9vaVNUeG
0.505,0.161,139.956,0.058,0.381,0.00115,4,0.616,1,285291,-9.307,0.228,1,audio_features,spotify:track:03qDVofuUUQSsSQCLWX0eF
0.883,0.139,109.896,0.0279,0.0564,0.0,4,0.697,0,165693,-4.269,0.948,1,audio_features,spotify:track:4s9uglCmXhzVcVXVxsAJjh
0.828,0.0774,105.435,0.041,0.000217,0.000161,4,0.35,6,318587,-5.373,0.147,1,audio_features,spotify:track:2EoOZnxNgtmZaD8uUmz2nD
0.873,0.204,116.681,0.0535,0.000264,0.0025,3,0.413,8,218933,-4.151,0.481,1,audio_features,spotify:track:0snQkGI5qnAmohLE7jTsTn
0.722,0.0373,111.324,0.0865,0.00393,0.0155,4,0.443,6,420267,-6.326,0.167,1,audio_features,spotify:track:1a3RarhRdrNSTEEERYEFJn
0.927,0.297,141.47,0.0733,0.0029,0.000211,4,0.333,9,308120,-8.55,0.382,0,audio_features,spotify:track:5QTxFnGygVM4jFQiBovmRo
0.366,0.0837,127.167,0.0286,0.15,0.308,4,0.472,11,382297,-12.595,0.171,0,audio_features,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
0.846,0.101,107.976,0.0391,0.00144,0.0172,4,0.786,8,165120,-3.752,0.695,1,audio_features,spotify:track:7or26qS3BfpTtWO3BFw5GE
0.909,0.0856,95.295,0.27,0.0281,0.0,4,0.922,10,161507,-2.429,0.309,0,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC
0.82,0.432,94.434,0.127,0.256,1.93e-06,4,0.537,11,297347,-7.011,0.881,0,audio_features,spotify:track:5hWLHFSmomXmeTXEE478My
0.634,0.29,125.223,0.167,0.0199,2.98e-05,4,0.774,1,304507,-5.941,0.752,1,audio_features,spotify:track:5IweeQZdY5XEzStLzUJG5t
0.784,0.0713,145.249,0.204,0.128,0.0,4,0.701,0,278872,-7.212,0.712,1,audio_features,spotify:track:605ZHoLZx7PtQ8fXgvN10K
0.639,0.0964,124.209,0.0431,0.204,0.0186,4,0.792,4,345093,-8.087,0.315,0,audio_features,spotify:track:2o11mdjIqntcOPyzjRwyDx
0.504,0.103,89.759,0.285,0.0397,1.34e-05,4,0.836,1,197893,-17.233,0.642,1,audio_features,spotify:track:4GVkrZMJdzKNo6rybHKe0l
0.793,0.0631,106.399,0.29,0.113,0.000467,4,0.519,9,459653,-9.528,0.735,1,audio_features,spotify:track:3ZhVqCQDqx6LfmXoPZKCpX
0.567,0.225,110.306,0.0384,0.000127,0.205,4,0.344,10,213453,-11.437,0.613,1,audio_features,spotify:track:3fP8KXXUoBenEM46UZZgSG
0.649,0.049,106.182,0.0444,0.00186,0.000885,4,0.825,10,183577,-8.913,0.921,0,audio_features,spotify:track:3ntu2NJd9xFN8lPXa9Gzh1
0.56,0.375,140.041,0.0605,0.00216,0.00534,4,0.9,11,237293,-7.965,0.714,0,audio_features,spotify:track:0AF9qpLxETfSkWNHH47Yyz
0.529,0.211,151.387,0.413,0.063,1.63e-05,4,0.716,1,303827,-9.012,0.552,0,audio_features,spotify:track:3jE1ffzfKtnALJVGlXgl7D
0.771,0.143,81.615,0.126,0.502,7.29e-05,4,0.495,1,449480,-9.752,0.805,1,audio_features,spotify:track:39GBFwBe4GGk7i3yr3F46P
0.845,0.0712,81.997,0.119,0.168,0.0,4,0.608,10,306524,-5.007,0.549,0,audio_features,spotify:track:6iVp2prwrEaeh9f18iP2jt
0.43,0.0476,89.519,0.068,0.0312,0.000189,4,0.791,2,265627,-11.316,0.716,1,audio_features,spotify:track:5X13b4CYce5Y6NYPfmYsXr
0.341,0.0783,166.01,0.488,0.169,0.0,4,0.802,7,197760,-8.56,0.849,1,audio_features,spotify:track:0rRboI6IRuGx56Dq3UdYY4
0.508,0.364,191.125,0.496,0.0155,0.0,4,0.658,6,206240,-14.871,0.822,0,audio_features,spotify:track:3C8xkK4Cir2QmiaN07GIZs
